traveltime,stop_id,stop_name,stop_lat,stop_lon
"(1, 'already visited', {'8592009', '8501181:0:1', '8592053', '8501120:0:3', '8587357', '8592033', '8592055', '8592050:0:F', '8592120', '8501120:0:70', '8592132', '8510575', '8592057', '8579238', '8501120:0:4', '8579254', '8592017', '8592116', '8592109', '8592010', '8592022', '8579238:0:D', '8501120:0:6', '8501120:0:7', '8501207', '8592143', '8592076', '8579237', '8592074', '8591980', '8592091', '8592111', '8592122', '8592072', '8595004', '8593249', '8592059', '8592071', '8592133', '8592050:0:D', '8591990', '8595005', '8501181', '8501181:0:2', '8592134', '8592104', 'Parent8501160', '8592087', '8592056', '8591977', '8501120:0:1', '8592003', '8592016', '8592082', '8501120:0:5', '8592020', '8592018', '8591982', '8592004', '8589523', 'Parent8592050', '8592011', '8592050:0:H', '8591993', '8501120:0:8', '8591979', '8504176', '8592032', '8501160', '8592094', '8592050', '8591997', '8592063', '8592041', '8592119', '8501160:0:1', '8501160:0:2', '8592097', '8592060', '8592066', '8592115', '8592050:0:C', '8592019', '8591992', '8592001', '8592038', '8592079', '8591984', '8592096', '8592034', '8592052', '8592125', '8591991', '8592081', '8501120', '8591998', 'Parent8501120', '8592135', '8592047', '8591818', '8592051', 'Parent8501181', '8592092', '8592054', '8592035', '8579253', '8592089', '8591987', '8592137', '8592102', '8592040', '8591988', '8592036', '8592078', '8592098', '8592067', '8590442', '8592046', '8592138', '8592085'})",8592017,"Lausanne, CHUV",46.526405,6.6414876
"(1, 'already visited', {'8593821', '8592058', '8587357', '8592037', '8579239:0:E', '8592055', '8592131', '8587547', '8591997', '8592063', '8591963', '8579238', '8592017', '8591971', '8592002', 'Parent8579239', '8592066', '8592115', '8579238:0:D', '8592019', '8591970', '8579239:0:B', '8591965', '8591968', '8592130', '8592048', '8591962', '8592065', '8592126', '8592031', '8504171', '8592099', '8595004', '8589525', '8593249', '8592025', '8579255', '8592081', '8592118', '8591964', '8591967', '8592008', '8587546', '8587549', '8591966', '8592092', '8592054', '8579239', '8592089', '8591977', '8579245', '8592137', '8592128', '8592016', '8592018', '8591969', '8587550'})",8591967,"Epalinges, En Praz Bin",46.550728,6.6715
"(1, 'already visited', {'8588842', '8591931', '8592212', '8588847', '8594177', '8510421', '8595148', '8592203', '8595978', '8594178', '8593817', '8592214', '8588840', '8581920', '8591935', '8591930', '8581922', '8588848', '8592201', '8588845', '8592204', '8592202', '8581916', '8506903', '8581924', '8592205', '8595986', '8592222', '8581921', '8588843', '8591936', '8588846', '8595516', '8588841', '8593816', '8592220', '8581917', '8592208', '8588839', '8507632'})",8588845,"Crissier, Timonet",46.555767,6.5737004
"(1, 'no route found', set())",8557075,"Carrouge VD, Le Borgeau",46.6007,6.7868795
"(0, 41.0, ['8501214', '8501213', '8501212', '8501211', '8501210'])",8501214,"Ecublens VD, EPFL",46.522194,6.566137
"(1, 'already visited', {'8501164', '8592175', '8592030', '8501163:0:1', '8570064', '8501169', '8501165:0:2', '8501168:0:1', '8501166', '8501166:0:1', '8501164:0:1', '8501169:0:1', '8501169:0:2', '8582065', '8592173', '8592176', '8501165', '8501170', '8592192', '8570063', '8592187', '8501166:0:2', 'Parent8501169', '8501170:0:1', '8501168', '8501163', 'Parent8501166'})",8501166:0:1,Romanel-sur-Lausanne,46.56247,6.603174
"(0, 32.72, ['8593869', '8593866', '8592209', '8510422', '8595521', '8501210'])",8593869,"Chavannes-R., Glycines",46.53628,6.5765753
"(0, 16.55, ['8592215', '8592114', '8501210'])",8592215,"Renens VD, Longemalle",46.525578,6.5965986
"(0, 58.07, ['8592204', '8592203', '8592205', '8592213', '8592218', '8592210', '8595521', '8501210'])",8592204,"Renens VD, Bois-Genoud",46.546303,6.5842648
"(1, 'already visited', {'8501121:0:2', '8592009', '8592193', '8591976', '8592138', '8593850', '8593795', '8501120:0:70', '8510575', '8501120:0:4', '8579254', '8592185', '8501120:0:6', '8595933', '8592170', '8588440', '8592171', '8579237', '8592029', '8504000', '8588445:0:B', '8588445', '8588446', '8592071', '8592023', '8592133', '8588431', '8591981', 'Parent8501160', '8592027', '8588442', 'Parent8501121', '8591978', '8595190', '8501120:0:5', '8592020', 'Parent8588445', '8589523', 'Parent8592050', '8592011', '8501120:0:8', '8504176', '8592050', '8592151', '8592045', '8501160:0:1', '8501160:0:2', '8579256', '8592077', '8504010:0:2', '8592083', '8592050:0:C', '8592183', '8592012', '8592038', '8592149', '8588443', '8592145', '8592034', '8592125', '8501120', '8504010:0:1', 'Parent8504010', '8592172', '8592135', 'Parent8501181', '8593806', '8592062', '8592136', '8591988', '8592098', '8592084', '8590442', '8592052', '8592191', '8501181:0:1', '8501120:0:3', '8592177', '8579257', '8592050:0:F', '8595191', '8588435', '8592010', '8592190', '8501120:0:7', '8592129', '8504000:0:1', '8592074', '8592072', '8588449', '8592126', '8510574', '8579255', 'Parent8504000', '8592050:0:D', '8592196', '8501181', '8501181:0:2', '8592134', '8591999', '8501120:0:1', '8592188', '8591982', '8588436', '8592050:0:H', '8591979', '8595936', '8501160', '8588434', '8595625', '8593798', '8592189', '8592042', '8592198', '8504000:0:2', '8588441', '8588445:0:D', '8592195', '8592079', '8592096', '8592123', '8588447', '8592182', '8591991', '8592186', 'Parent8501120', '8588450', '8591818', '8592051', '8501121:0:1', '8592043', '8592039', '8579253', '8588448', '8595192', '8592040', '8504010', '8592197', '8592112', '8588432'})",8592188,"Pully, Montillier",46.512367,6.657657
